N,assumed_sd,effect,alpha,approx_power,mde_90,ci95_half_width,selected_planning_reference
180,0.5,0.1,0.05,0.7652593202022941,0.12080415200186519,0.07304354504804846,False
180,0.5,0.15,0.05,0.9805365316046,0.12080415200186519,0.07304354504804846,False
180,0.5,0.2,0.05,0.9996711117430099,0.12080415200186519,0.07304354504804846,False
180,0.5,0.25,0.05,0.9999989740274609,0.12080415200186519,0.07304354504804846,False
180,0.5,0.3,0.05,0.9999999994350258,0.12080415200186519,0.07304354504804846,False
180,0.75,0.1,0.05,0.4321576275945629,0.18120622800279776,0.10956531757207269,False
180,0.75,0.15,0.05,0.7652593202022939,0.18120622800279776,0.10956531757207269,False
180,0.75,0.2,0.05,0.9471412096731695,0.18120622800279776,0.10956531757207269,False
180,0.75,0.25,0.05,0.9940004700489502,0.18120622800279776,0.10956531757207269,False
180,0.75,0.3,0.05,0.9996711117430099,0.18120622800279776,0.10956531757207269,False
180,1.0,0.1,0.05,0.2686618236636774,0.24160830400373037,0.1460870900960969,False
180,1.0,0.15,0.05,0.5209693072187045,0.24160830400373037,0.1460870900960969,False
180,1.0,0.2,0.05,0.7652593202022941,0.24160830400373037,0.1460870900960969,False
180,1.0,0.25,0.05,0.9183620828255178,0.24160830400373037,0.1460870900960969,True
180,1.0,0.3,0.05,0.9805365316046,0.24160830400373037,0.1460870900960969,False
180,1.25,0.1,0.05,0.18884288650899017,0.30201038000466296,0.18260886262012113,False
180,1.25,0.15,0.05,0.3633497460611117,0.30201038000466296,0.18260886262012113,False
180,1.25,0.2,0.05,0.5740569665465742,0.30201038000466296,0.18260886262012113,False
180,1.25,0.25,0.05,0.7652593202022939,0.30201038000466296,0.18260886262012113,False
180,1.25,0.3,0.05,0.8961607226671457,0.30201038000466296,0.18260886262012113,False
180,1.5,0.1,0.05,0.14547251240985137,0.3624124560055955,0.21913063514414538,False
180,1.5,0.15,0.05,0.2686618236636773,0.3624124560055955,0.21913063514414538,False
180,1.5,0.2,0.05,0.4321576275945629,0.3624124560055955,0.21913063514414538,False
180,1.5,0.25,0.05,0.6087794846454567,0.3624124560055955,0.21913063514414538,False
180,1.5,0.3,0.05,0.7652593202022939,0.3624124560055955,0.21913063514414538,False
180,2.0,0.1,0.05,0.10293348892353682,0.48321660800746075,0.2921741801921938,False
180,2.0,0.15,0.05,0.17161685418334582,0.48321660800746075,0.2921741801921938,False
180,2.0,0.2,0.05,0.2686618236636774,0.48321660800746075,0.2921741801921938,False
180,2.0,0.25,0.05,0.38875967189941385,0.48321660800746075,0.2921741801921938,False
180,2.0,0.3,0.05,0.5209693072187045,0.48321660800746075,0.2921741801921938,False
